name,slug,url,sku,price,categories,manufacturer,composition,cas_number,function,dosage_form,synonym,quality,einecs
SLM 2026,slm-2026,https://www.pharmaexcipients.com/product/slm-2026/,PE1395-2,0,,Lipoid,Lamellar System with hydrogenated Phosphatidylcholine,,"Stabilizer, Permeation Enhancer, Skin Barrier Support",Creams,,,
LIPOID S PC-3,lipoid-s-pc3,https://www.pharmaexcipients.com/product/lipoid-s-pc3/,PE1395-1,0,,Lipoid,"Soy Phosphatidylcholine, Hydrogenated",97281-48-6,"Wetting Agent, Component of Colloidal Structures","Infusions, Injections, Depot Formulations, Inhalable Formulations",,,
LIPOID ESM,lipoid-esm,https://www.pharmaexcipients.com/product/lipoid-esm/,PE1401-1,0,,Lipoid,Egg Sphingomyelin,85187-10-6,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
PHOSAL® MCT,phosal-mct,https://www.pharmaexcipients.com/product/phosal-mct/,PE1558-2,0,,Lipoid,Soy PC in MCT,,Solubility and Oral Bioavailability Enhancer,"Tablets, Capsules, Creams, Sprays, Foams, Gels",,,
PHOSAL® 50 PG,phosal-50-pg,https://www.pharmaexcipients.com/product/phosal-50-pg/,PE1558-1,0,,Lipoid,Soy PC in PG,,Solubility and Oral Bioavailability Enhancer,"Tablets, Capsules, Creams, Sprays, Foams, Gels",,,
Vitipure Meglumine LEX,vitipure-meglumine-lex,https://www.pharmaexcipients.com/product/vitipure-meglumine-lex/,PE1821,0,,Clariant,meglumine,328023,bioavailability enhancer; Solubilizer,Liquid,Meglumine,"USP-NF, Ph.Eur.",
Vitipure P 188 MG,vitipure-p-188-mg,https://www.pharmaexcipients.com/product/vitipure-p-188-mg/,PE1820,0,,Clariant,Poloxamer 188,329540,bioavailability enhancer; Emulsifier; Solubilizer; Wetting Agent,flakes; powders,Poloxamer 188,"USP-NF, Ph.Eur.",
VitiPure HCO 40 LEX,vitipure-hco-40-lex,https://www.pharmaexcipients.com/product/vitipure-hco-40-lex/,PE1819,0,,Clariant,PEG 40 Hydrogenated Castor Oil,326367,Emulsifier; non-ionic solubilizer,Liquid; oil,Castor Oil; PEG; peg 40; PEG 40 Hydrogenated Castor Oil,"USP-NF, Ph.Eur.",
VitiPure HCO 40,vitipure-hco-40,https://www.pharmaexcipients.com/product/vitipure-hco-40/,PE1818,0,,Clariant,PEG 40 Hydrogenated Castor Oil,321832,Emulsifier; non-ionic solubilizer,Liquid; oil,Castor Oil; PEG; peg 40; PEG 40 Hydrogenated Castor Oil,"USP-NF, Ph.Eur.",
VitiPure CO 35 Superior,vitipure-co-35-superior,https://www.pharmaexcipients.com/product/vitipure-co-35-superior/,PE1817,0,,Clariant,PEG 35 Castor Oil,329600,,Liquid; oil,Castor Oil; PEG,"USP-NF, Ph.Eur.",
VitiPure CO 35 LEX,vitipure-co-35-lex,https://www.pharmaexcipients.com/product/vitipure-co-35-lex/,PE1816,0,,Clariant,PEG 35 Castor Oil,326368,,oil,Castor Oil; castor oil with ethylene oxide; PEG,"USP-NF, Ph.Eur.",
VitiPure CO 35,vitipure-co-35,https://www.pharmaexcipients.com/product/vitipure-co-35/,PE1815,0,,Clariant,PEG 35 Castor Oil,321813,,oil,Castor Oil; castor oil with ethylene oxide; PEG,"USP-NF, Ph.Eur.",
VitiPure HCO,vitipure-hco,https://www.pharmaexcipients.com/product/vitipure-hco/,PE1814,0,,Clariant,Hydrogenated Castor Oil,328108,hydrophobic lubricant; sustained release agent; viscosity enhancer,oil,Castor Oil; Hydrogenated castor oil,"USP-NF, Ph.Eur.",
VitiPure O 80 Superior,vitipure-o-80-superior,https://www.pharmaexcipients.com/product/vitipure-o-80-superior/,PE1813,0,,Clariant,Polysorbate; Polysorbate 80,329598,"non-ionic, hydrophilic emulsifier, co-emulsifier and solubilizer",Liquid,Polysorbate,"USP-NF, Ph.Eur.",
VitiPure O 80 LEX,vitipure-o-80-lex,https://www.pharmaexcipients.com/product/vitipure-o-80-lex/,PE1812,0,,Clariant,Polysorbate; Polysorbate 80,326366,"non-ionic, hydrophilic emulsifier, co-emulsifier and solubilizer",Liquid,Polysorbate,"USP-NF, Ph.Eur.",
VitiPure O 80,vitipure-o-80,https://www.pharmaexcipients.com/product/vitipure-o-80/,PE1811,0,,Clariant,Polysorbate; Polysorbate 80,321871,"non-ionic, hydrophilic emulsifier, co-emulsifier and solubilizer",Liquid,Polysorbate,"USP-NF, Ph.Eur.",
VitiPure L 20 Superior,vitipure-l-20-superior,https://www.pharmaexcipients.com/product/vitipure-l-20-superior/,PE1810,0,,Clariant,Polysorbate; Polysorbate 20,329590,"non-ionic, hydrophilic emulsifier, co-emulsifier and solubilizer",Liquid,Polysorbate,"USP-NF, Ph.Eur.",
VitiPure L 20 LEX,vitipure-l-20-lex,https://www.pharmaexcipients.com/product/vitipure-l-20-lex/,PE1809,0,,Clariant,Polysorbate; Polysorbate 20,326365,"non-ionic, hydrophilic emulsifier, co-emulsifier and solubilizer",Liquid,Polysorbate,"USP-NF, Ph.Eur.",
VitiPure L 20,vitipure-l-20,https://www.pharmaexcipients.com/product/vitipure-l-20/,PE1808,0,,Clariant,Polysorbate; Polysorbate 20,321807,"non-ionic, hydrophilic emulsifier, co-emulsifier and solubilizer",Liquid,Polysorbate,"USP-NF, Ph.Eur.",
VitiPure LEX 4000 S,vitipure-lex-4000-s,https://www.pharmaexcipients.com/product/vitipure-lex-4000-s/,PE1807,0,,Clariant,PEG 4000; Polyethylene Glycol,329332,,,PEG 4000,"USP-NF, Ph.Eur.",
VitiPure LEX 3350 S,vitipure-lex-3350-s,https://www.pharmaexcipients.com/product/vitipure-lex-3350-s/,PE1806,0,,Clariant,PEG 3350; Polyethylene Glycol,329286,,,PEG 3350,"USP-NF, Ph.Eur., JP",
VitiPure LEX 400,vitipure-lex-400,https://www.pharmaexcipients.com/product/vitipure-lex-400/,PE1805,0,,Clariant,PEG 400; Polyethylene Gylcol,322213,,,PEG 400,"USP-NF, Ph.Eur.",
VitiPure LEX 300,vitipure-lex-300,https://www.pharmaexcipients.com/product/vitipure-lex-300/,PE1804,0,,Clariant,PEG 300; Polyethylene Gylcol,322212,,,PEG 300,"USP-NF, Ph.Eur., JPE",
Hedjuvan-MG3350 Circular,hedjuvan-mg3350-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg3350-circular/,PE1605-1,0,,KLK OLEO Life Science,PEG; Polyethylene Gylcol,25322-68-3,"Emollient, Plasticiser, Solvent, Viscosity enhancer",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",EP; USP/NF,
Hedjuvan-MG1500 Circular,hedjuvan-mg1500-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg1500-circular/,PE1604-1,0,,KLK OLEO Life Science,PEG; Polyethylene Gylcol,25322-68-3,"Emollient, Plasticiser, Solvent",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",EP; USP/NF,
Hedjuvan-MG1000 Circular,hedjuvan-mg1000-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg1000-circular/,PE1603-1,0,,KLK OLEO Life Science,PEG; Polyethylene Gylcol,25322-68-3,"Emollient, Plasticiser, Solvent",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",EP; USP/NF,
Hedjuvan-MG600 Circular,hedjuvan-mg600-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg600-circular/,PE1602-1,0,,KLK OLEO Life Science,PEG; Polyethylene Gylcol,25322-68-3,"Emollient, Plasticiser, Solvent",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",EP; USP/NF,
Hedjuvan-MG400 Circular,hedjuvan-mg400-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg400-circular/,PE1601-1,0,,KLK OLEO Life Science,PEG; Polyethylene Gylcol,25322-68-3,"Emollient, Plasticiser, Solvent","Tablet, Aerosol, Capsule, Cream, Emulsion, Gel, Ointment, Solution, Suppository, Suspension","Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",EP; USP/NF,
Hedjuvan-MG300 Circular,hedjuvan-mg300-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg300-circular/,PE1600-1,0,,KLK OLEO Life Science,PEG; Polyethylene Gylcol,25322-68-3,"Emollient, Plasticiser, Solvent","Cream, Lotion, Ointment, Solution","Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",EP; USP/NF,
Hedjuvan-MG4000 Circular Powder,hedjuvan-mg4000-circular-powder,https://www.pharmaexcipients.com/product/hedjuvan-mg4000-circular-powder/,PE1613-2-2-1-1-1-2,0,,KLK OLEO Life Science,"PEG, Polyethylene Glycol",25322-68-3,"Emollient, Plasticiser, Solvent, Viscosity enhancer",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",USP-NF/EP,
Hedjuvan-MG4000 Circular,hedjuvan-mg4000-circular,https://www.pharmaexcipients.com/product/hedjuvan-mg4000-circular/,PE1613-2-2-1-1-1-1,0,,KLK OLEO Life Science,"PEG, Polyethylene Glycol",25322-68-3,"Emollient, Plasticiser, Solvent, Viscosity enhancer",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",USP-NF/EP,
Hedjuvan-MG4000 Powder,hedjuvan-mg4000-powder,https://www.pharmaexcipients.com/product/hedjuvan-mg4000-powder/,PE1613-2-2-1-1-1,0,,KLK OLEO Life Science,"PEG, Polyethylene Glycol",25322-68-3,"Emollient, Plasticiser, Solvent, Viscosity enhancer",,"Macrogol, PEG, Polyethylene glycol, Polyglycol, Polyethylene oxide, Polyoxy ethylene",USP-NF/EP,
ENHEX GTX 99.9 PH,enhex-gtx-99-9-ph,https://www.pharmaexcipients.com/product/enhex-gtx-99-9-ph/,PE1613-2-2-1-1,0,,KLK OLEO Life Science,Triacetin,102-76-1,"Plasticiser, Solvent, Stabiliser, Binder, Flavour and fragrance carrier, Humectant",,"Triacetin, Glyceryl triacetate, 1,2,3-Triacetylglycerol, 1,2,3-Triacetoxypropane, Propane-1,2,3-triyl triacetate",EP,
